bin_id,zone_type,zone_name,bin_cluster_id,cluster_label
BIN0057,mixed_use,Mangaladevi,1,high_risk_chronic_overflow
BIN0058,mixed_use,Mangaladevi,2,event_spiky
BIN0059,mixed_use,Kadri,3,high_risk_chronic_overflow
BIN0060,mixed_use,Kadri,1,high_risk_chronic_overflow
BIN0061,mixed_use,Kadri,2,event_spiky
BIN0062,mixed_use,Kadri,2,event_spiky
BIN0063,mixed_use,Kadri,2,event_spiky
BIN0064,mixed_use,Kadri,1,high_risk_chronic_overflow
BIN0065,mixed_use,Kadri,1,high_risk_chronic_overflow
BIN0066,mixed_use,Kadri,1,high_risk_chronic_overflow
BIN0067,mixed_use,Kadri,3,high_risk_chronic_overflow
BIN0068,mixed_use,Kadri,2,event_spiky
BIN0069,mixed_use,Kadri,2,event_spiky
BIN0070,commercial,Balmatta,2,event_spiky
BIN0071,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0072,commercial,Balmatta,2,event_spiky
BIN0073,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0074,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0075,commercial,Balmatta,0,event_spiky
BIN0076,commercial,Balmatta,2,event_spiky
BIN0077,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0078,commercial,Balmatta,3,high_risk_chronic_overflow
BIN0079,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0080,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0081,commercial,Balmatta,2,event_spiky
BIN0082,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0083,commercial,Balmatta,0,event_spiky
BIN0084,commercial,Balmatta,2,event_spiky
BIN0085,commercial,Balmatta,2,event_spiky
BIN0086,commercial,Balmatta,2,event_spiky
BIN0087,commercial,Balmatta,1,high_risk_chronic_overflow
BIN0088,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0089,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0090,residential_high,Falnir,2,event_spiky
BIN0091,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0092,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0093,residential_high,Falnir,4,event_spiky
BIN0094,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0095,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0096,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0097,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0098,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0099,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0100,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0101,residential_high,Falnir,1,high_risk_chronic_overflow
BIN0102,commercial,Kankanady,2,event_spiky
BIN0103,commercial,Kankanady,2,event_spiky
BIN0104,commercial,Kankanady,1,high_risk_chronic_overflow
BIN0105,commercial,Kankanady,2,event_spiky
BIN0106,commercial,Kankanady,2,event_spiky
BIN0107,commercial,Kankanady,2,event_spiky
BIN0108,commercial,Kankanady,1,high_risk_chronic_overflow
BIN0109,commercial,Kankanady,0,event_spiky
BIN0110,commercial,Kankanady,0,event_spiky
BIN0111,commercial,Kankanady,2,event_spiky
BIN0112,commercial,Kankanady,2,event_spiky
BIN0113,commercial,Kankanady,1,high_risk_chronic_overflow
BIN0114,commercial,Kankanady,2,event_spiky
BIN0115,institutional,Surathkal,4,event_spiky
BIN0116,institutional,Surathkal,4,event_spiky
BIN0117,institutional,Surathkal,4,event_spiky
BIN0118,institutional,Surathkal,4,event_spiky
BIN0119,institutional,Surathkal,4,event_spiky
BIN0120,institutional,Surathkal,1,high_risk_chronic_overflow
BIN0121,institutional,Surathkal,4,event_spiky
BIN0122,institutional,Surathkal,4,event_spiky
BIN0123,institutional,Surathkal,4,event_spiky
BIN0124,institutional,Surathkal,4,event_spiky
BIN0125,institutional,Surathkal,1,high_risk_chronic_overflow
BIN0126,institutional,Surathkal,1,high_risk_chronic_overflow
BIN0127,tourist,Panambur,0,event_spiky
BIN0128,tourist,Panambur,0,event_spiky
BIN0129,tourist,Panambur,0,event_spiky
BIN0130,tourist,Panambur,0,event_spiky
BIN0131,tourist,Panambur,0,event_spiky
BIN0132,tourist,Panambur,0,event_spiky
BIN0133,tourist,Panambur,0,event_spiky
BIN0134,tourist,Panambur,0,event_spiky
BIN0135,tourist,Panambur,3,high_risk_chronic_overflow
BIN0136,tourist,Panambur,0,event_spiky
BIN0137,tourist,Panambur,0,event_spiky
BIN0138,residential_low,Bejai,1,high_risk_chronic_overflow
BIN0139,residential_low,Bejai,1,high_risk_chronic_overflow
BIN0140,residential_low,Bejai,1,high_risk_chronic_overflow
BIN0141,residential_low,Bejai,1,high_risk_chronic_overflow
BIN0142,residential_low,Bejai,1,high_risk_chronic_overflow
BIN0143,residential_low,Bejai,1,high_risk_chronic_overflow
BIN0144,residential_low,Derebail,2,event_spiky
BIN0145,residential_low,Derebail,1,high_risk_chronic_overflow
BIN0146,residential_low,Derebail,1,high_risk_chronic_overflow
BIN0147,residential_low,Derebail,1,high_risk_chronic_overflow
BIN0148,residential_low,Derebail,1,high_risk_chronic_overflow
BIN0149,residential_low,Derebail,1,high_risk_chronic_overflow
BIN0150,industrial,Bikarnakatta,1,high_risk_chronic_overflow
BIN0151,industrial,Bikarnakatta,1,high_risk_chronic_overflow
BIN0152,industrial,Bikarnakatta,1,high_risk_chronic_overflow
BIN0153,industrial,Bikarnakatta,1,high_risk_chronic_overflow
BIN0154,industrial,Bikarnakatta,1,high_risk_chronic_overflow
