bin_id,zone_id,zone_name,zone_type,latitude,longitude,bin_capacity_liters,waste_type,has_iot_sensor,population_density_per_sqkm,nearby_restaurants_count,nearby_markets_count,distance_to_nearest_bin_m
BIN0058,Z03,Mangaladevi,mixed_use,12.868068,74.844743,1100,mixed,True,12852,13,2,372.2
BIN0059,Z04,Kadri,mixed_use,12.88135,74.841221,1100,mixed,False,12381,13,2,349.1
BIN0060,Z04,Kadri,mixed_use,12.882685,74.846078,660,mixed,False,12752,18,2,340.5
BIN0061,Z04,Kadri,mixed_use,12.876008,74.846249,240,mixed,True,13068,17,2,155.0
BIN0062,Z04,Kadri,mixed_use,12.877213,74.840394,240,mixed,False,12463,10,2,193.4
BIN0063,Z04,Kadri,mixed_use,12.876317,74.844155,240,mixed,True,13729,15,2,295.6
BIN0064,Z04,Kadri,mixed_use,12.872936,74.850262,660,mixed,True,12590,14,3,329.1
BIN0065,Z04,Kadri,mixed_use,12.883569,74.846682,1100,mixed,False,12697,16,3,289.6
BIN0066,Z04,Kadri,mixed_use,12.87284,74.848885,240,wet_organic,True,14652,11,2,301.2
BIN0067,Z04,Kadri,mixed_use,12.883036,74.84975,660,wet_organic,False,13542,12,3,206.9
BIN0068,Z04,Kadri,mixed_use,12.875285,74.84744,660,wet_organic,True,14274,10,3,366.9
BIN0069,Z04,Kadri,mixed_use,12.873536,74.850542,240,mixed,True,14645,17,3,299.3
BIN0070,Z05,Balmatta,commercial,12.868585,74.843655,240,wet_organic,True,14482,9,1,103.1
BIN0071,Z05,Balmatta,commercial,12.87836,74.844803,1100,mixed,True,15380,8,1,217.5
BIN0072,Z05,Balmatta,commercial,12.873914,74.845975,660,dry_recyclable,False,13700,10,2,150.0
BIN0073,Z05,Balmatta,commercial,12.873866,74.843128,660,mixed,True,14924,12,1,68.5
BIN0074,Z05,Balmatta,commercial,12.87856,74.843256,1100,dry_recyclable,True,15807,13,1,280.3
BIN0075,Z05,Balmatta,commercial,12.87582,74.83805,240,mixed,True,16161,13,2,186.9
BIN0076,Z05,Balmatta,commercial,12.877118,74.843305,1100,mixed,True,15189,14,1,211.5
BIN0077,Z05,Balmatta,commercial,12.877564,74.843813,1100,mixed,False,14203,12,2,163.0
BIN0078,Z05,Balmatta,commercial,12.869803,74.838342,1100,wet_organic,True,16226,12,1,177.7
BIN0079,Z05,Balmatta,commercial,12.875606,74.838353,660,wet_organic,False,14602,14,1,186.1
BIN0080,Z05,Balmatta,commercial,12.869873,74.846724,240,mixed,True,16305,12,1,161.8
BIN0081,Z05,Balmatta,commercial,12.874672,74.845033,240,mixed,True,15211,14,1,238.5
BIN0082,Z05,Balmatta,commercial,12.877643,74.838185,660,dry_recyclable,True,14613,11,1,194.5
BIN0083,Z05,Balmatta,commercial,12.878004,74.84132,660,mixed,False,15876,15,2,189.7
BIN0084,Z05,Balmatta,commercial,12.878172,74.837542,660,mixed,True,13814,15,2,172.3
BIN0085,Z05,Balmatta,commercial,12.871141,74.847727,1100,mixed,True,13692,9,1,124.8
BIN0086,Z05,Balmatta,commercial,12.875731,74.844834,240,mixed,True,14791,9,1,99.9
BIN0087,Z05,Balmatta,commercial,12.875228,74.847122,660,mixed,True,15724,13,1,276.3
BIN0088,Z06,Falnir,residential_high,12.880866,74.8356,660,mixed,True,18884,4,1,344.6
BIN0089,Z06,Falnir,residential_high,12.875672,74.835965,660,wet_organic,True,19078,4,1,349.4
BIN0090,Z06,Falnir,residential_high,12.871687,74.835552,120,wet_organic,True,19253,5,1,239.7
BIN0091,Z06,Falnir,residential_high,12.875319,74.84033,240,wet_organic,True,17074,4,1,317.0
BIN0092,Z06,Falnir,residential_high,12.873052,74.838109,120,mixed,True,17753,3,1,465.1
BIN0093,Z06,Falnir,residential_high,12.872107,74.839511,660,mixed,True,18696,4,1,285.2
BIN0094,Z06,Falnir,residential_high,12.879212,74.83373,120,mixed,False,16565,4,1,282.3
BIN0095,Z06,Falnir,residential_high,12.881226,74.842988,240,mixed,False,18619,5,1,280.8
BIN0096,Z06,Falnir,residential_high,12.880592,74.844543,240,mixed,False,16906,5,1,281.2
BIN0097,Z06,Falnir,residential_high,12.87406,74.841697,660,mixed,False,18853,4,1,357.4
BIN0098,Z06,Falnir,residential_high,12.881517,74.836715,660,mixed,True,16732,3,1,225.1
BIN0099,Z06,Falnir,residential_high,12.882134,74.834981,240,mixed,True,19537,4,1,257.2
BIN0100,Z06,Falnir,residential_high,12.878568,74.844278,120,mixed,False,19442,5,1,345.6
BIN0101,Z06,Falnir,residential_high,12.87202,74.843033,240,mixed,True,19341,4,1,256.3
BIN0102,Z07,Kankanady,commercial,12.859279,74.844842,240,mixed,True,16098,10,2,208.2
BIN0103,Z07,Kankanady,commercial,12.861138,74.843242,660,mixed,True,14810,10,1,221.8
BIN0104,Z07,Kankanady,commercial,12.864171,74.847683,660,mixed,True,15670,8,2,350.7
BIN0105,Z07,Kankanady,commercial,12.86554,74.846249,660,mixed,True,15352,12,1,217.9
BIN0106,Z07,Kankanady,commercial,12.867227,74.843479,660,mixed,True,16838,8,2,166.4
BIN0107,Z07,Kankanady,commercial,12.867465,74.845835,660,mixed,False,15210,9,1,215.4
BIN0108,Z07,Kankanady,commercial,12.867475,74.843977,240,mixed,True,15804,7,2,245.4
BIN0109,Z07,Kankanady,commercial,12.864605,74.847448,1100,mixed,True,14957,7,1,107.1
BIN0110,Z07,Kankanady,commercial,12.86761,74.853975,660,wet_organic,False,16576,9,2,217.2
BIN0111,Z07,Kankanady,commercial,12.86696,74.84919,1100,mixed,False,15973,12,1,130.1
BIN0112,Z07,Kankanady,commercial,12.867458,74.849364,660,wet_organic,True,15500,10,2,176.2
BIN0113,Z07,Kankanady,commercial,12.863636,74.847751,660,mixed,True,15279,9,1,193.9
BIN0114,Z07,Kankanady,commercial,12.861488,74.849721,660,mixed,False,16016,11,1,160.9
BIN0115,Z08,Surathkal,institutional,13.007163,74.792112,660,mixed,True,6384,9,1,271.3
BIN0116,Z08,Surathkal,institutional,13.006517,74.789094,240,wet_organic,True,6665,8,1,247.1
BIN0117,Z08,Surathkal,institutional,13.015363,74.789272,1100,mixed,True,6070,8,1,258.4
BIN0118,Z08,Surathkal,institutional,13.009185,74.78972,240,mixed,True,6762,7,1,404.4
BIN0119,Z08,Surathkal,institutional,13.011822,74.789048,120,wet_organic,True,6126,9,1,179.6
BIN0120,Z08,Surathkal,institutional,13.015755,74.793077,120,wet_organic,True,5680,8,1,306.1
BIN0121,Z08,Surathkal,institutional,13.008285,74.798222,120,mixed,True,5878,9,1,185.8
BIN0122,Z08,Surathkal,institutional,13.015157,74.788516,240,wet_organic,True,6280,9,1,373.3
BIN0123,Z08,Surathkal,institutional,13.014828,74.797558,120,mixed,True,6754,10,1,392.0
BIN0124,Z08,Surathkal,institutional,13.005488,74.792713,1100,mixed,True,5968,11,1,398.5
BIN0125,Z08,Surathkal,institutional,13.007118,74.790898,240,mixed,True,5908,8,1,274.4
BIN0126,Z08,Surathkal,institutional,13.007516,74.799441,660,mixed,True,6069,11,1,257.3
BIN0127,Z09,Panambur,tourist,12.953921,74.802172,660,wet_organic,False,4012,9,1,366.5
BIN0128,Z09,Panambur,tourist,12.948408,74.804434,120,mixed,False,3914,9,0,337.0
BIN0129,Z09,Panambur,tourist,12.944211,74.809178,1100,mixed,False,4375,7,0,373.7
BIN0130,Z09,Panambur,tourist,12.950905,74.806717,660,mixed,False,3940,10,0,361.2
BIN0131,Z09,Panambur,tourist,12.95225,74.806004,660,dry_recyclable,True,4319,7,1,227.5
BIN0132,Z09,Panambur,tourist,12.947623,74.811958,240,mixed,False,3815,8,1,276.5
BIN0133,Z09,Panambur,tourist,12.949112,74.800244,1100,dry_recyclable,False,4102,10,1,311.0
BIN0134,Z09,Panambur,tourist,12.946063,74.800375,240,mixed,True,4256,8,1,371.9
BIN0135,Z09,Panambur,tourist,12.948411,74.802488,660,mixed,True,4119,7,1,315.5
BIN0136,Z09,Panambur,tourist,12.948515,74.811544,660,mixed,True,4269,11,0,296.3
BIN0137,Z09,Panambur,tourist,12.951709,74.801529,660,mixed,False,4263,8,1,365.3
BIN0138,Z10,Bejai,residential_low,12.887684,74.856628,120,wet_organic,True,9818,7,1,353.9
BIN0139,Z10,Bejai,residential_low,12.88027,74.857373,240,wet_organic,True,9652,9,1,353.5
BIN0140,Z10,Bejai,residential_low,12.880362,74.856811,120,wet_organic,False,8621,9,1,260.0
BIN0141,Z10,Bejai,residential_low,12.881621,74.860473,240,wet_organic,True,9389,6,1,315.7
BIN0142,Z10,Bejai,residential_low,12.881062,74.854612,660,wet_organic,False,9877,8,1,297.2
BIN0143,Z10,Bejai,residential_low,12.889254,74.850249,240,mixed,False,8640,9,1,278.9
BIN0144,Z11,Derebail,residential_low,12.913474,74.836348,120,mixed,True,8516,7,1,251.7
BIN0145,Z11,Derebail,residential_low,12.911083,74.844979,240,mixed,False,7766,7,1,289.3
BIN0146,Z11,Derebail,residential_low,12.902088,74.837264,120,mixed,False,7980,5,1,344.0
BIN0147,Z11,Derebail,residential_low,12.902783,74.833899,660,wet_organic,False,7940,7,1,221.6
BIN0148,Z11,Derebail,residential_low,12.913968,74.837204,240,mixed,False,7039,5,1,387.3
BIN0149,Z11,Derebail,residential_low,12.911837,74.833037,660,mixed,False,7986,8,1,423.1
BIN0150,Z12,Bikarnakatta,industrial,12.919419,74.867612,240,dry_recyclable,True,3282,6,1,374.3
BIN0151,Z12,Bikarnakatta,industrial,12.917844,74.861219,240,dry_recyclable,True,3257,5,1,321.9
BIN0152,Z12,Bikarnakatta,industrial,12.926192,74.871526,240,mixed,True,3614,6,1,407.9
BIN0153,Z12,Bikarnakatta,industrial,12.920767,74.866834,660,mixed,False,3774,4,1,337.5
BIN0154,Z12,Bikarnakatta,industrial,12.918759,74.866184,1100,dry_recyclable,True,3444,4,1,243.7
